Date,Revenue,Costs,Profit,Department,Region,Product,Customer_Satisfaction
2023-01-01,54967.14,27993.9,26973.239999999998,Operations,East,Product_B,4.1
2023-01-02,48617.36,31120.46,17496.9,Marketing,West,Product_A,3.5
2023-01-03,56476.89,30062.96,26413.93,Marketing,North,Product_C,4.9
2023-01-04,65230.3,30488.38,34741.92,IT,North,Product_C,4.0
2023-01-05,47658.47,26134.95,21523.52,Sales,East,Product_A,4.6
2023-01-06,47658.63,30122.55,17536.079999999998,Marketing,North,Product_B,4.1
2023-01-07,65792.13,32489.99,33302.14,IT,South,Product_B,3.1
2023-01-08,57674.35,37255.72,20418.629999999997,Sales,West,Product_B,4.3
2023-01-09,45305.26,34796.35,10508.910000000003,Marketing,South,Product_B,4.9
2023-01-10,55425.6,40765.91,14659.689999999995,Marketing,North,Product_C,4.2
2023-01-11,45365.82,26163.26,19202.56,Sales,East,Product_C,4.6
2023-01-12,45342.7,34361.6,10981.099999999999,Sales,West,Product_C,4.8
2023-01-13,52419.62,30916.71,21502.910000000003,Sales,North,Product_C,3.5
2023-01-14,30867.2,40949.01,-10081.810000000001,Marketing,North,Product_C,3.4
2023-01-15,32750.82,25958.51,6792.310000000001,Marketing,East,Product_B,4.2
2023-01-16,44377.12,25801.39,18575.730000000003,IT,East,Product_B,3.8
2023-01-17,39871.69,27003.04,12868.650000000001,Operations,South,Product_B,4.7
2023-01-18,53142.47,19380.52,33761.95,Sales,West,Product_B,4.8
2023-01-19,40919.76,27371.22,13548.54,Marketing,West,Product_C,3.7
2023-01-20,35876.96,26204.34,9672.619999999999,Marketing,East,Product_C,3.5
2023-01-21,64656.49,30751.97,33904.52,Sales,South,Product_C,4.6
2023-01-22,47742.24,31708.78,16033.46,Operations,West,Product_A,3.5
2023-01-23,50675.28,39380.85,11294.43,Sales,East,Product_B,4.6
2023-01-24,35752.52,34752.12,1000.3999999999942,Operations,North,Product_B,3.8
2023-01-25,44556.17,27115.48,17440.69,Marketing,West,Product_C,4.3
2023-01-26,51109.23,25507.93,25601.300000000003,Operations,South,Product_B,3.2
2023-01-27,38490.06,32459.6,6030.459999999999,IT,South,Product_B,4.2
2023-01-28,53756.98,23398.83,30358.15,Marketing,South,Product_C,3.9
2023-01-29,43993.61,39157.29,4836.32,IT,North,Product_A,4.2
2023-01-30,47083.06,35897.2,11185.86,Sales,West,Product_A,3.3
2023-01-31,43982.93,27654.12,16328.810000000001,Sales,West,Product_A,4.5
2023-02-01,68522.78,21434.33,47088.45,Sales,North,Product_C,4.7
2023-02-02,49865.03,36769.36,13095.669999999998,Operations,West,Product_B,3.4
2023-02-03,39422.89,29427.3,9995.59,Marketing,North,Product_C,3.2
2023-02-04,58225.45,36189.08,22036.369999999995,Sales,North,Product_C,3.0
2023-02-05,37791.56,22027.86,15763.699999999997,Sales,North,Product_B,4.3
2023-02-06,52088.64,27003.12,25085.52,Marketing,South,Product_A,4.2
2023-02-07,30403.3,30026.22,377.0799999999981,Sales,West,Product_A,4.1
2023-02-08,36718.14,30234.9,6483.239999999998,IT,North,Product_C,3.5
2023-02-09,51968.61,27749.67,24218.940000000002,Marketing,West,Product_A,3.8
2023-02-10,57384.67,33114.25,24270.42,Marketing,South,Product_C,4.2
2023-02-11,51713.68,24661.9,27051.78,Marketing,North,Product_C,4.0
2023-02-12,48843.52,29288.1,19555.42,IT,East,Product_B,5.0
2023-02-13,46988.96,30601.48,16387.48,Marketing,South,Product_B,3.3
2023-02-14,35214.78,32572.19,2642.59,IT,East,Product_B,4.4
2023-02-15,42801.56,33558.07,9243.489999999998,Marketing,West,Product_C,3.8
2023-02-16,45393.61,24376.79,21016.82,Operations,West,Product_B,3.9
2023-02-17,60571.22,22329.43,38241.79,Sales,South,Product_A,4.4
2023-02-18,53436.18,36388.38,17047.800000000003,Operations,West,Product_A,4.4
2023-02-19,32369.6,31661.57,708.0299999999988,Sales,East,Product_C,5.0
2023-02-20,53240.84,26257.57,26983.269999999997,IT,North,Product_C,3.3
